instance,rows,cols,nnz,algorithm,tolerance,status,objective,published_objective,relative_error,iterations,seconds,wall_seconds,reached_tolerance,primal_residual,dual_residual,git_commit,machine,gpu,timestamp_utc
kkt_200x200,200,200,1000,pdhg-cpu,1e-04,feasible,15284.999999632697,15285.0,2.4030295929983917e-11,8920,0.045221,0.147284,1,5.556e-08,0.000e+00,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-04,feasible,15285.00000021587,15285.0,1.4123021684998892e-11,18280,5.002404,5.160126,1,5.818e-08,4.152e-17,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_200x200,200,200,1000,pdhg-cpu,1e-08,feasible,15284.999999947151,15285.0,3.4575674275839918e-12,18240,0.102552,0.219782,1,9.583e-08,0.000e+00,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-08,feasible,15285.000128171308,15285.0,8.385430713829127e-09,12360,3.419082,3.563786,1,4.348e-08,2.001e-17,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-04,feasible,40595.99999840827,40596.0,3.920908817185071e-11,14880,0.119319,0.301911,1,6.902e-08,0.000e+00,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-04,feasible,40596.00005773911,40596.0,1.4222857195533264e-09,5320,1.235352,1.332725,1,8.390e-13,8.199e-16,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-08,feasible,40595.99999830272,40596.0,4.1808975873874175e-11,19880,0.171712,0.333155,1,7.220e-08,0.000e+00,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-08,feasible,40595.99999997481,40596.0,6.204888476771854e-13,21920,4.891393,4.986959,1,1.005e-09,3.111e-13,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cpu,1e-04,feasible,84140.00000049494,84140.0,5.882335877670708e-12,2640,0.043214,0.117269,1,8.748e-08,0.000e+00,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cuda,1e-04,optimal,84140.00000014114,84140.0,1.6774307796521285e-12,3240,0.792559,0.885808,1,5.456e-09,1.781e-16,a4f02b1,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:32:21+00:00
