instance,rows,cols,nnz,algorithm,tolerance,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc
kkt_200x200,200,200,1000,pdhg-cpu,0.0001,optimal,15284.999999920901,15285.0,5.174926674072069e-12,19480,0.112448,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_200x200,200,200,1000,pdhg-cuda,0.0001,optimal,15285.000006810404,15285.0,4.45561246140039e-10,15840,3.132507,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_200x200,200,200,1000,pdhg-cpu,1e-08,optimal,15284.999999920901,15285.0,5.174926674072069e-12,19480,0.101337,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-08,optimal,15284.999999969892,15285.0,1.9697685709840377e-12,17840,3.46789,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_500x500,500,500,2500,pdhg-cpu,0.0001,optimal,40596.000000050735,40596.0,1.2497598887501484e-12,42280,0.320791,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_500x500,500,500,2500,pdhg-cuda,0.0001,optimal,40595.999999916385,40596.0,2.0596931939648223e-12,33920,6.501209,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-08,optimal,40596.000000050735,40596.0,1.2497598887501484e-12,42280,0.320368,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-08,optimal,40595.999999806394,40596.0,4.769089470780539e-12,38760,7.365259,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cpu,0.0001,optimal,84139.99999955583,84140.0,5.278917381928232e-12,2840,0.097992,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cuda,0.0001,optimal,84139.99999953201,84140.0,5.562034629715688e-12,3160,0.781582,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cpu,1e-08,optimal,84139.99999955583,84140.0,5.278917381928232e-12,2840,0.0974,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cuda,1e-08,optimal,84140.00000079343,84140.0,9.429862442494345e-12,3360,0.803898,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cpu,0.0001,optimal,184420.00000007794,184420.0,4.2262258954090044e-13,33480,0.99866,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cuda,0.0001,optimal,184420.00000046095,184420.0,2.499438600877065e-12,27400,5.479783,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cpu,1e-08,optimal,184420.00000007794,184420.0,4.2262258954090044e-13,33480,1.002955,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cuda,1e-08,optimal,184419.99999994528,184420.0,2.9668800161945215e-13,29840,6.153355,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_5000x5000,5000,5000,40000,pdhg-cpu,0.0001,optimal,718697.9999997085,718698.0,4.0560007938611874e-13,5680,0.789968,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_5000x5000,5000,5000,40000,pdhg-cuda,0.0001,optimal,718698.0000009267,718698.0,1.2893676645021986e-12,4720,1.158348,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_5000x5000,5000,5000,40000,pdhg-cpu,1e-08,optimal,718697.9999997085,718698.0,4.0560007938611874e-13,5680,0.778782,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_5000x5000,5000,5000,40000,pdhg-cuda,1e-08,optimal,718698.000000069,718698.0,9.60546513881663e-14,6000,1.403097,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_10000x10000,10000,10000,80000,pdhg-cpu,0.0001,optimal,1355466.9999999779,1355467.0,1.6318295574232065e-14,8960,2.656103,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_10000x10000,10000,10000,80000,pdhg-cuda,0.0001,optimal,1355467.000006236,1355467.0,4.60055695120692e-12,7560,1.855753,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_10000x10000,10000,10000,80000,pdhg-cpu,1e-08,optimal,1355466.9999999779,1355467.0,1.6318295574232065e-14,8960,2.631457,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
kkt_10000x10000,10000,10000,80000,pdhg-cuda,1e-08,optimal,1355467.0000002882,1355467.0,2.1265315706209786e-13,7800,1.917055,1,c21e52a,Windows-AMD64,2026-09-18T18:50:07+00:00
