instance,rows,cols,nnz,algorithm,tolerance,status,objective,published_objective,relative_error,iterations,seconds,wall_seconds,reached_tolerance,git_commit,machine,gpu,timestamp_utc
kkt_200x200,200,200,1000,pdhg-cpu,1e-04,feasible,15284.999999632697,15285.0,2.4030295929983917e-11,8920,0.04172,0.133212,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-04,feasible,15285.000006391247,15285.0,4.1813847844512985e-10,10320,2.743694,2.875314,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_200x200,200,200,1000,pdhg-cpu,1e-08,feasible,15284.999999947151,15285.0,3.4575674275839918e-12,18240,0.074514,0.194993,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-08,feasible,15285.000005716973,15285.0,3.7402504003866607e-10,12240,2.93954,3.038188,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-04,feasible,40595.99999840827,40596.0,3.920908817185071e-11,14880,0.116941,0.194913,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-04,feasible,40596.00000089336,40596.0,2.200602590857891e-11,20640,4.617554,4.757036,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-08,feasible,40595.99999830272,40596.0,4.1808975873874175e-11,19880,0.161492,0.324677,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-08,feasible,40595.99999974134,40596.0,6.37157092285498e-12,26920,6.055874,6.151015,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cpu,1e-04,feasible,84140.00000049494,84140.0,5.882335877670708e-12,2640,0.039493,0.110642,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cuda,1e-04,optimal,84139.9999994034,84140.0,7.09055645985957e-12,3000,0.735308,0.839716,1,dcfcb08,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T14:11:43+00:00
