instance,rows,cols,nnz,algorithm,tolerance,status,objective,published_objective,relative_error,iterations,seconds,wall_seconds,reached_tolerance,primal_residual,dual_residual,git_commit,machine,gpu,timestamp_utc
kkt_200x200,200,200,1000,pdhg-cpu,1e-04,feasible,15284.999999632697,15285.0,2.4030295929983917e-11,8920,0.026892,0.106258,1,5.556e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-04,feasible,15285.000005515067,15285.0,3.6081561872337745e-10,9640,2.495259,2.633097,1,4.411e-08,3.477e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_200x200,200,200,1000,pdhg-cpu,1e-08,feasible,15284.999999947151,15285.0,3.4575674275839918e-12,18240,0.068414,0.164856,1,9.583e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-08,feasible,15285.000001912817,15285.0,1.2514337683739345e-10,13280,3.365243,3.493721,1,5.652e-08,5.194e-17,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-04,feasible,40595.99999840827,40596.0,3.920908817185071e-11,14880,0.104578,0.172378,1,6.902e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-04,feasible,40596.00535378278,40596.0,1.318795639248305e-07,2400,0.597064,0.688811,1,3.807e-13,4.897e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-08,feasible,40595.99999830272,40596.0,4.1808975873874175e-11,19880,0.137404,0.207731,1,7.220e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-08,feasible,40596.00000012023,40596.0,2.9615706871801883e-12,35200,7.504911,7.602641,1,3.208e-08,8.831e-17,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cpu,1e-04,feasible,84140.00000049494,84140.0,5.882335877670708e-12,2640,0.039954,0.103683,1,8.748e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cuda,1e-04,optimal,84139.99999954157,84140.0,5.44840724315713e-12,2960,0.737843,0.824162,1,9.651e-08,4.879e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cpu,1e-08,feasible,84140.00000049494,84140.0,5.882335877670708e-12,2640,0.04082,0.10937,1,8.748e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cuda,1e-08,feasible,84140.00000043208,84140.0,5.135196897559645e-12,2440,0.602462,0.694457,1,8.565e-08,8.532e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cpu,1e-04,feasible,184419.9999989934,184420.0,5.458270165963825e-12,22040,0.698044,1.296204,1,9.897e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cuda,1e-04,feasible,184420.0000005863,184420.0,3.1791381875658847e-12,22320,5.081043,5.17978,1,9.568e-08,5.633e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cpu,1e-08,feasible,184419.9999989934,184420.0,5.458270165963825e-12,22040,0.714791,1.338337,1,9.897e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cuda,1e-08,optimal,184420.00000008594,184420.0,4.660211004160863e-13,32760,7.466876,7.563748,1,2.801e-08,7.510e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_5000x5000,5000,5000,40000,pdhg-cpu,1e-04,optimal,718697.9999997085,718698.0,4.0560007938611874e-13,5680,0.784234,1.406341,1,5.605e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_5000x5000,5000,5000,40000,pdhg-cuda,1e-04,optimal,718698.0000001971,718698.0,2.742336000002792e-13,5640,1.435984,1.549107,1,9.419e-08,4.701e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_5000x5000,5000,5000,40000,pdhg-cpu,1e-08,optimal,718697.9999997085,718698.0,4.0560007938611874e-13,5680,0.769667,1.375483,1,5.605e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_5000x5000,5000,5000,40000,pdhg-cuda,1e-08,optimal,718697.9999999809,718698.0,2.656486142944228e-14,6480,1.635014,1.762724,1,3.667e-08,1.668e-15,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_10000x10000,10000,10000,80000,pdhg-cpu,1e-04,optimal,1355466.9999999779,1355467.0,1.6318295574232065e-14,8960,2.854972,3.504767,1,3.404e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_10000x10000,10000,10000,80000,pdhg-cuda,1e-04,optimal,1355467.0000000128,1355467.0,9.447434279818563e-15,7880,2.081781,2.229082,1,9.576e-08,3.452e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_10000x10000,10000,10000,80000,pdhg-cpu,1e-08,optimal,1355466.9999999779,1355467.0,1.6318295574232065e-14,8960,2.929445,3.605301,1,3.404e-08,0.000e+00,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
kkt_10000x10000,10000,10000,80000,pdhg-cuda,1e-08,optimal,1355467.0000006342,1355467.0,4.679056541495594e-13,7240,1.90328,2.043919,1,9.609e-08,1.963e-16,fb72ab4,Windows-AMD64,"NVIDIA GeForce RTX 5050 Laptop GPU (compute 12.0, 8151 MiB VRAM)",2026-09-22T15:38:25+00:00
